stimulus,category,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrConf.keys,instrConf.rt,date,frameRate,expName,session,participant,
D,letter,3,1,112,3,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
P,letter,3,2,113,15,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,3,3,114,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
L,letter,3,4,115,11,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,3,5,116,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
3,number,3,6,117,28,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
X,letter,3,7,118,23,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
H,letter,3,8,119,7,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
G,letter,3,9,120,6,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
I,letter,3,10,121,8,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
2,number,3,11,122,27,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
M,letter,3,12,123,12,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,3,13,124,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
A,letter,3,14,125,0,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
5,number,3,15,126,30,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
N,letter,3,16,127,13,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
R,letter,3,17,128,17,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
6,number,3,18,129,31,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
E,letter,3,19,130,4,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
1,number,3,20,131,26,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
T,letter,3,21,132,19,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
F,letter,3,22,133,5,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,3,23,134,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
K,letter,3,24,135,10,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Z,letter,3,25,136,25,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
None,blank,3,26,137,36,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
S,letter,3,27,138,18,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
W,letter,3,28,139,22,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,3,29,140,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,3,30,141,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
U,letter,3,31,142,20,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
V,letter,3,32,143,21,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Y,letter,3,33,144,24,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
7,number,3,34,145,32,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,3,35,146,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
4,number,3,36,147,29,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
9,number,4,0,148,34,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
probe,probe,4,1,149,35,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
O,letter,4,2,150,14,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
B,letter,4,3,151,1,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
8,number,4,4,152,33,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
C,letter,4,5,153,2,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
Q,letter,4,6,154,16,,,2018_Jan_27_1649,59.96000097209932,rsvp,001,1,
