6.8030 	EXP 	interStimInt: autoDraw = True
6.8366 	EXP 	interStimInt: autoDraw = False
6.8366 	EXP 	interStimInt: autoDraw = False
6.8366 	EXP 	text: text = u'O'
6.8366 	EXP 	text: autoDraw = True
6.8706 	EXP 	New trial (rep=0, index=23): OrderedDict([(u'stimulus', u'K'), (u'category', u'letter')])
6.8865 	EXP 	text: autoDraw = False
6.8865 	EXP 	interStimInt: autoDraw = True
6.9196 	EXP 	interStimInt: autoDraw = False
6.9196 	EXP 	interStimInt: autoDraw = False
6.9196 	EXP 	text: text = u'K'
6.9196 	EXP 	text: autoDraw = True
6.9555 	EXP 	New trial (rep=0, index=24): OrderedDict([(u'stimulus', u'B'), (u'category', u'letter')])
6.9699 	EXP 	text: autoDraw = False
6.9699 	EXP 	interStimInt: autoDraw = True
7.0034 	EXP 	interStimInt: autoDraw = False
7.0034 	EXP 	interStimInt: autoDraw = False
7.0034 	EXP 	text: text = u'B'
7.0034 	EXP 	text: autoDraw = True
7.0370 	EXP 	New trial (rep=0, index=25): OrderedDict([(u'stimulus', u'E'), (u'category', u'letter')])
7.0544 	EXP 	text: autoDraw = False
7.0544 	EXP 	text: autoDraw = False
7.0544 	EXP 	interStimInt: autoDraw = True
7.0866 	EXP 	interStimInt: autoDraw = False
7.0866 	EXP 	interStimInt: autoDraw = False
7.0866 	EXP 	text: text = u'E'
7.0866 	EXP 	text: autoDraw = True
7.1201 	EXP 	New trial (rep=0, index=26): OrderedDict([(u'stimulus', u'C'), (u'category', u'letter')])
7.1366 	EXP 	text: autoDraw = False
7.1366 	EXP 	text: autoDraw = False
7.1366 	EXP 	interStimInt: autoDraw = True
7.1700 	EXP 	interStimInt: autoDraw = False
7.1700 	EXP 	interStimInt: autoDraw = False
7.1700 	EXP 	text: text = u'C'
7.1700 	EXP 	text: autoDraw = True
7.2038 	EXP 	New trial (rep=0, index=27): OrderedDict([(u'stimulus', u'J'), (u'category', u'letter')])
7.2199 	EXP 	text: autoDraw = False
7.2199 	EXP 	text: autoDraw = False
7.2199 	EXP 	interStimInt: autoDraw = True
7.2534 	EXP 	interStimInt: autoDraw = False
7.2534 	EXP 	interStimInt: autoDraw = False
7.2534 	EXP 	text: text = u'J'
7.2534 	EXP 	text: autoDraw = True
7.2871 	EXP 	New trial (rep=0, index=28): OrderedDict([(u'stimulus', u'probe'), (u'category', u'probe')])
7.3032 	EXP 	text: autoDraw = False
7.3032 	EXP 	text: autoDraw = False
7.3032 	EXP 	interStimInt: autoDraw = True
7.3366 	EXP 	interStimInt: autoDraw = False
7.3366 	EXP 	interStimInt: autoDraw = False
7.3366 	EXP 	text: text = u'probe'
7.3366 	EXP 	text: autoDraw = True
7.3724 	EXP 	New trial (rep=0, index=29): OrderedDict([(u'stimulus', 4), (u'category', u'number')])
7.3866 	EXP 	text: autoDraw = False
7.3866 	EXP 	text: autoDraw = False
7.3866 	EXP 	interStimInt: autoDraw = True
7.4199 	EXP 	interStimInt: autoDraw = False
7.4199 	EXP 	interStimInt: autoDraw = False
7.4199 	EXP 	text: text = 4
7.4199 	EXP 	text: autoDraw = True
7.4538 	EXP 	New trial (rep=0, index=30): OrderedDict([(u'stimulus', u'F'), (u'category', u'letter')])
7.4719 	EXP 	text: autoDraw = False
7.4719 	EXP 	text: autoDraw = False
7.4719 	EXP 	interStimInt: autoDraw = True
7.5033 	EXP 	interStimInt: autoDraw = False
7.5033 	EXP 	interStimInt: autoDraw = False
7.5033 	EXP 	text: text = u'F'
7.5033 	EXP 	text: autoDraw = True
7.5371 	EXP 	New trial (rep=0, index=31): OrderedDict([(u'stimulus', u'D'), (u'category', u'letter')])
7.5533 	EXP 	text: autoDraw = False
7.5533 	EXP 	text: autoDraw = False
7.5533 	EXP 	interStimInt: autoDraw = True
7.5867 	EXP 	interStimInt: autoDraw = False
7.5867 	EXP 	interStimInt: autoDraw = False
7.5867 	EXP 	text: text = u'D'
7.5867 	EXP 	text: autoDraw = True
7.6205 	EXP 	New trial (rep=0, index=32): OrderedDict([(u'stimulus', u'N'), (u'category', u'letter')])
7.6366 	EXP 	text: autoDraw = False
7.6366 	EXP 	text: autoDraw = False
7.6366 	EXP 	interStimInt: autoDraw = True
7.6718 	EXP 	interStimInt: autoDraw = False
7.6718 	EXP 	interStimInt: autoDraw = False
7.6718 	EXP 	text: text = u'N'
7.6718 	EXP 	text: autoDraw = True
7.7040 	EXP 	New trial (rep=0, index=33): OrderedDict([(u'stimulus', 7), (u'category', u'number')])
7.7199 	EXP 	text: autoDraw = False
7.7199 	EXP 	text: autoDraw = False
7.7199 	EXP 	interStimInt: autoDraw = True
7.7535 	EXP 	interStimInt: autoDraw = False
7.7535 	EXP 	interStimInt: autoDraw = False
7.7535 	EXP 	text: text = 7
7.7535 	EXP 	text: autoDraw = True
7.7872 	EXP 	New trial (rep=0, index=34): OrderedDict([(u'stimulus', 5), (u'category', u'number')])
7.8033 	EXP 	text: autoDraw = False
7.8033 	EXP 	text: autoDraw = False
7.8033 	EXP 	interStimInt: autoDraw = True
7.8366 	EXP 	interStimInt: autoDraw = False
7.8366 	EXP 	interStimInt: autoDraw = False
7.8366 	EXP 	text: text = 5
7.8366 	EXP 	text: autoDraw = True
7.8727 	EXP 	New trial (rep=0, index=35): OrderedDict([(u'stimulus', u'W'), (u'category', u'letter')])
7.8867 	EXP 	text: autoDraw = False
7.8867 	EXP 	text: autoDraw = False
7.8867 	EXP 	interStimInt: autoDraw = True
7.9199 	EXP 	interStimInt: autoDraw = False
7.9199 	EXP 	interStimInt: autoDraw = False
7.9199 	EXP 	text: text = u'W'
7.9199 	EXP 	text: autoDraw = True
7.9539 	EXP 	New trial (rep=0, index=36): OrderedDict([(u'stimulus', 3), (u'category', u'number')])
7.9715 	EXP 	text: autoDraw = False
7.9715 	EXP 	text: autoDraw = False
7.9715 	EXP 	interStimInt: autoDraw = True
8.0026 	EXP 	interStimInt: autoDraw = False
8.0026 	EXP 	interStimInt: autoDraw = False
8.0026 	EXP 	text: text = 3
8.0026 	EXP 	text: autoDraw = True
8.0525 	EXP 	window1: mouseVisible = True
