stimulus,category,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
2,number,3,22,133,27,2018_Jan_26_2228,None,rsvp,001,1,
8,number,3,23,134,33,2018_Jan_26_2228,None,rsvp,001,1,
Q,letter,3,24,135,16,2018_Jan_26_2228,None,rsvp,001,1,
4,number,3,25,136,29,2018_Jan_26_2228,None,rsvp,001,1,
W,letter,3,26,137,22,2018_Jan_26_2228,None,rsvp,001,1,
V,letter,3,27,138,21,2018_Jan_26_2228,None,rsvp,001,1,
D,letter,3,28,139,3,2018_Jan_26_2228,None,rsvp,001,1,
R,letter,3,29,140,17,2018_Jan_26_2228,None,rsvp,001,1,
P,letter,3,30,141,15,2018_Jan_26_2228,None,rsvp,001,1,
J,letter,3,31,142,9,2018_Jan_26_2228,None,rsvp,001,1,
1,number,3,32,143,26,2018_Jan_26_2228,None,rsvp,001,1,
K,letter,3,33,144,10,2018_Jan_26_2228,None,rsvp,001,1,
3,number,3,34,145,28,2018_Jan_26_2228,None,rsvp,001,1,
A,letter,3,35,146,0,2018_Jan_26_2228,None,rsvp,001,1,
F,letter,3,36,147,5,2018_Jan_26_2228,None,rsvp,001,1,
D,letter,4,0,148,3,2018_Jan_26_2228,None,rsvp,001,1,
W,letter,4,1,149,22,2018_Jan_26_2228,None,rsvp,001,1,
I,letter,4,2,150,8,2018_Jan_26_2228,None,rsvp,001,1,
T,letter,4,3,151,19,2018_Jan_26_2228,None,rsvp,001,1,
Y,letter,4,4,152,24,2018_Jan_26_2228,None,rsvp,001,1,
2,number,4,5,153,27,2018_Jan_26_2228,None,rsvp,001,1,
U,letter,4,6,154,20,2018_Jan_26_2228,None,rsvp,001,1,
1,number,4,7,155,26,2018_Jan_26_2228,None,rsvp,001,1,
None,blank,4,8,156,36,2018_Jan_26_2228,None,rsvp,001,1,
Q,letter,4,9,157,16,2018_Jan_26_2228,None,rsvp,001,1,
P,letter,4,10,158,15,2018_Jan_26_2228,None,rsvp,001,1,
K,letter,4,11,159,10,2018_Jan_26_2228,None,rsvp,001,1,
M,letter,4,12,160,12,2018_Jan_26_2228,None,rsvp,001,1,
R,letter,4,13,161,17,2018_Jan_26_2228,None,rsvp,001,1,
4,number,4,14,162,29,2018_Jan_26_2228,None,rsvp,001,1,
6,number,4,15,163,31,2018_Jan_26_2228,None,rsvp,001,1,
F,letter,4,16,164,5,2018_Jan_26_2228,None,rsvp,001,1,
O,letter,4,17,165,14,2018_Jan_26_2228,None,rsvp,001,1,
Z,letter,4,18,166,25,2018_Jan_26_2228,None,rsvp,001,1,
5,number,4,19,167,30,2018_Jan_26_2228,None,rsvp,001,1,
E,letter,4,20,168,4,2018_Jan_26_2228,None,rsvp,001,1,
3,number,4,21,169,28,2018_Jan_26_2228,None,rsvp,001,1,
V,letter,4,22,170,21,2018_Jan_26_2228,None,rsvp,001,1,
N,letter,4,23,171,13,2018_Jan_26_2228,None,rsvp,001,1,
H,letter,4,24,172,7,2018_Jan_26_2228,None,rsvp,001,1,
S,letter,4,25,173,18,2018_Jan_26_2228,None,rsvp,001,1,
C,letter,4,26,174,2,2018_Jan_26_2228,None,rsvp,001,1,
A,letter,4,27,175,0,2018_Jan_26_2228,None,rsvp,001,1,
J,letter,4,28,176,9,2018_Jan_26_2228,None,rsvp,001,1,
G,letter,4,29,177,6,2018_Jan_26_2228,None,rsvp,001,1,
X,letter,4,30,178,23,2018_Jan_26_2228,None,rsvp,001,1,
9,number,4,31,179,34,2018_Jan_26_2228,None,rsvp,001,1,
probe,probe,4,32,180,35,2018_Jan_26_2228,None,rsvp,001,1,
7,number,4,33,181,32,2018_Jan_26_2228,None,rsvp,001,1,
L,letter,4,34,182,11,2018_Jan_26_2228,None,rsvp,001,1,
B,letter,4,35,183,1,2018_Jan_26_2228,None,rsvp,001,1,
8,number,4,36,184,33,2018_Jan_26_2228,None,rsvp,001,1,
8,number,5,0,185,33,2018_Jan_26_2228,None,rsvp,001,1,
V,letter,5,1,186,21,2018_Jan_26_2228,None,rsvp,001,1,
A,letter,5,2,187,0,2018_Jan_26_2228,None,rsvp,001,1,
7,number,5,3,188,32,2018_Jan_26_2228,None,rsvp,001,1,
Z,letter,5,4,189,25,2018_Jan_26_2228,None,rsvp,001,1,
D,letter,5,5,190,3,2018_Jan_26_2228,None,rsvp,001,1,
5,number,5,6,191,30,2018_Jan_26_2228,None,rsvp,001,1,
O,letter,5,7,192,14,2018_Jan_26_2228,None,rsvp,001,1,
9,number,5,8,193,34,2018_Jan_26_2228,None,rsvp,001,1,
None,blank,5,9,194,36,2018_Jan_26_2228,None,rsvp,001,1,
Y,letter,5,10,195,24,2018_Jan_26_2228,None,rsvp,001,1,
W,letter,5,11,196,22,2018_Jan_26_2228,None,rsvp,001,1,
N,letter,5,12,197,13,2018_Jan_26_2228,None,rsvp,001,1,
F,letter,5,13,198,5,2018_Jan_26_2228,None,rsvp,001,1,
G,letter,5,14,199,6,2018_Jan_26_2228,None,rsvp,001,1,
J,letter,5,15,200,9,2018_Jan_26_2228,None,rsvp,001,1,
3,number,5,16,201,28,2018_Jan_26_2228,None,rsvp,001,1,
Q,letter,5,17,202,16,2018_Jan_26_2228,None,rsvp,001,1,
P,letter,5,18,203,15,2018_Jan_26_2228,None,rsvp,001,1,
R,letter,5,19,204,17,2018_Jan_26_2228,None,rsvp,001,1,
M,letter,5,20,205,12,2018_Jan_26_2228,None,rsvp,001,1,
4,number,5,21,206,29,2018_Jan_26_2228,None,rsvp,001,1,
L,letter,5,22,207,11,2018_Jan_26_2228,None,rsvp,001,1,
E,letter,5,23,208,4,2018_Jan_26_2228,None,rsvp,001,1,
2,number,5,24,209,27,2018_Jan_26_2228,None,rsvp,001,1,
probe,probe,5,25,210,35,2018_Jan_26_2228,None,rsvp,001,1,
C,letter,5,26,211,2,2018_Jan_26_2228,None,rsvp,001,1,
U,letter,5,27,212,20,2018_Jan_26_2228,None,rsvp,001,1,
H,letter,5,28,213,7,2018_Jan_26_2228,None,rsvp,001,1,
B,letter,5,29,214,1,2018_Jan_26_2228,None,rsvp,001,1,
I,letter,5,30,215,8,2018_Jan_26_2228,None,rsvp,001,1,
1,number,5,31,216,26,2018_Jan_26_2228,None,rsvp,001,1,
X,letter,5,32,217,23,2018_Jan_26_2228,None,rsvp,001,1,
T,letter,5,33,218,19,2018_Jan_26_2228,None,rsvp,001,1,
6,number,5,34,219,31,2018_Jan_26_2228,None,rsvp,001,1,
S,letter,5,35,220,18,2018_Jan_26_2228,None,rsvp,001,1,
K,letter,5,36,221,10,2018_Jan_26_2228,None,rsvp,001,1,
2,number,6,0,222,27,2018_Jan_26_2228,None,rsvp,001,1,
B,letter,6,1,223,1,2018_Jan_26_2228,None,rsvp,001,1,
I,letter,6,2,224,8,2018_Jan_26_2228,None,rsvp,001,1,
O,letter,6,3,225,14,2018_Jan_26_2228,None,rsvp,001,1,
J,letter,6,4,226,9,2018_Jan_26_2228,None,rsvp,001,1,
X,letter,6,5,227,23,2018_Jan_26_2228,None,rsvp,001,1,
U,letter,6,6,228,20,2018_Jan_26_2228,None,rsvp,001,1,
4,number,6,7,229,29,2018_Jan_26_2228,None,rsvp,001,1,
5,number,6,8,230,30,2018_Jan_26_2228,None,rsvp,001,1,
F,letter,6,9,231,5,2018_Jan_26_2228,None,rsvp,001,1,
V,letter,6,10,232,21,2018_Jan_26_2228,None,rsvp,001,1,
None,blank,6,11,233,36,2018_Jan_26_2228,None,rsvp,001,1,
probe,probe,6,12,234,35,2018_Jan_26_2228,None,rsvp,001,1,
M,letter,6,13,235,12,2018_Jan_26_2228,None,rsvp,001,1,
9,number,6,14,236,34,2018_Jan_26_2228,None,rsvp,001,1,
D,letter,6,15,237,3,2018_Jan_26_2228,None,rsvp,001,1,
Q,letter,6,16,238,16,2018_Jan_26_2228,None,rsvp,001,1,
H,letter,6,17,239,7,2018_Jan_26_2228,None,rsvp,001,1,
S,letter,6,18,240,18,2018_Jan_26_2228,None,rsvp,001,1,
N,letter,6,19,241,13,2018_Jan_26_2228,None,rsvp,001,1,
7,number,6,20,242,32,2018_Jan_26_2228,None,rsvp,001,1,
8,number,6,21,243,33,2018_Jan_26_2228,None,rsvp,001,1,
R,letter,6,22,244,17,2018_Jan_26_2228,None,rsvp,001,1,
Y,letter,6,23,245,24,2018_Jan_26_2228,None,rsvp,001,1,
3,number,6,24,246,28,2018_Jan_26_2228,None,rsvp,001,1,
6,number,6,25,247,31,2018_Jan_26_2228,None,rsvp,001,1,
A,letter,6,26,248,0,2018_Jan_26_2228,None,rsvp,001,1,
T,letter,6,27,249,19,2018_Jan_26_2228,None,rsvp,001,1,
Z,letter,6,28,250,25,2018_Jan_26_2228,None,rsvp,001,1,
G,letter,6,29,251,6,2018_Jan_26_2228,None,rsvp,001,1,
E,letter,6,30,252,4,2018_Jan_26_2228,None,rsvp,001,1,
K,letter,6,31,253,10,2018_Jan_26_2228,None,rsvp,001,1,
W,letter,6,32,254,22,2018_Jan_26_2228,None,rsvp,001,1,
P,letter,6,33,255,15,2018_Jan_26_2228,None,rsvp,001,1,
C,letter,6,34,256,2,2018_Jan_26_2228,None,rsvp,001,1,
L,letter,6,35,257,11,2018_Jan_26_2228,None,rsvp,001,1,
1,number,6,36,258,26,2018_Jan_26_2228,None,rsvp,001,1,
9,number,7,0,259,34,2018_Jan_26_2228,None,rsvp,001,1,
U,letter,7,1,260,20,2018_Jan_26_2228,None,rsvp,001,1,
None,blank,7,2,261,36,2018_Jan_26_2228,None,rsvp,001,1,
C,letter,7,3,262,2,2018_Jan_26_2228,None,rsvp,001,1,
L,letter,7,4,263,11,2018_Jan_26_2228,None,rsvp,001,1,
2,number,7,5,264,27,2018_Jan_26_2228,None,rsvp,001,1,
M,letter,7,6,265,12,2018_Jan_26_2228,None,rsvp,001,1,
D,letter,7,7,266,3,2018_Jan_26_2228,None,rsvp,001,1,
8,number,7,8,267,33,2018_Jan_26_2228,None,rsvp,001,1,
V,letter,7,9,268,21,2018_Jan_26_2228,None,rsvp,001,1,
1,number,7,10,269,26,2018_Jan_26_2228,None,rsvp,001,1,
T,letter,7,11,270,19,2018_Jan_26_2228,None,rsvp,001,1,
