23.3071 	WARNING 	Trying to use a framebuffer object but GL_ARB_texture_float is not supported. Disabling
38.4544 	EXP 	New trial (rep=0, index=15): {'stimulus': 7, 'category': u'number'}
38.4641 	EXP 	window1: blendMode = 'avg'
38.4941 	EXP 	stimuli: autoDraw = False
38.4941 	EXP 	stimuli: text = u'O'
38.4941 	EXP 	stimuli: autoDraw = False
38.4941 	EXP 	stimuli: text = 7
38.4941 	EXP 	stimuli: autoDraw = True
38.4952 	EXP 	window1: blendMode = 'avg'
38.5305 	EXP 	New trial (rep=0, index=16): {'stimulus': u'Y', 'category': u'letter'}
38.5372 	EXP 	window1: blendMode = 'avg'
38.5805 	EXP 	stimuli: autoDraw = False
38.5805 	EXP 	stimuli: text = u'Y'
38.5805 	EXP 	stimuli: autoDraw = True
38.5821 	EXP 	New trial (rep=0, index=17): {'stimulus': u'N', 'category': u'letter'}
38.5934 	EXP 	window1: blendMode = 'avg'
38.6135 	EXP 	stimuli: autoDraw = False
38.6135 	EXP 	stimuli: text = u'N'
38.6135 	EXP 	stimuli: autoDraw = True
38.6144 	EXP 	New trial (rep=0, index=18): {'stimulus': u'I', 'category': u'letter'}
38.6209 	EXP 	window1: blendMode = 'avg'
38.6301 	EXP 	stimuli: autoDraw = False
38.6301 	EXP 	stimuli: text = u'I'
38.6301 	EXP 	stimuli: autoDraw = True
38.6306 	EXP 	window1: blendMode = 'avg'
38.6987 	EXP 	New trial (rep=0, index=19): {'stimulus': u'E', 'category': u'letter'}
38.7049 	EXP 	New trial (rep=0, index=20): {'stimulus': u'J', 'category': u'letter'}
38.7332 	EXP 	window1: blendMode = 'avg'
38.7427 	EXP 	stimuli: autoDraw = False
38.7427 	EXP 	stimuli: text = u'E'
38.7427 	EXP 	stimuli: autoDraw = False
38.7427 	EXP 	stimuli: text = u'J'
38.7427 	EXP 	stimuli: autoDraw = True
38.7432 	EXP 	window1: blendMode = 'avg'
38.8139 	EXP 	New trial (rep=0, index=21): {'stimulus': 9, 'category': u'number'}
38.8227 	EXP 	New trial (rep=0, index=22): {'stimulus': u'Z', 'category': u'letter'}
38.8305 	EXP 	window1: blendMode = 'avg'
38.8582 	EXP 	stimuli: autoDraw = False
38.8582 	EXP 	stimuli: text = 9
38.8582 	EXP 	stimuli: autoDraw = False
38.8582 	EXP 	stimuli: text = u'Z'
38.8582 	EXP 	stimuli: autoDraw = True
38.8645 	EXP 	New trial (rep=0, index=23): {'stimulus': 5, 'category': u'number'}
38.8724 	EXP 	window1: blendMode = 'avg'
38.9216 	EXP 	stimuli: autoDraw = False
38.9216 	EXP 	stimuli: text = 5
38.9216 	EXP 	stimuli: autoDraw = True
38.9223 	EXP 	New trial (rep=0, index=24): {'stimulus': 6, 'category': u'number'}
38.9313 	EXP 	window1: blendMode = 'avg'
38.9414 	EXP 	stimuli: autoDraw = False
38.9414 	EXP 	stimuli: text = 6
38.9414 	EXP 	stimuli: autoDraw = True
38.9420 	EXP 	window1: blendMode = 'avg'
39.0254 	EXP 	New trial (rep=0, index=25): {'stimulus': u'D', 'category': u'letter'}
39.0323 	EXP 	New trial (rep=0, index=26): {'stimulus': u'T', 'category': u'letter'}
39.0378 	EXP 	window1: blendMode = 'avg'
39.0584 	EXP 	stimuli: autoDraw = False
39.0584 	EXP 	stimuli: text = u'D'
39.0584 	EXP 	stimuli: autoDraw = False
39.0584 	EXP 	stimuli: text = u'T'
39.0584 	EXP 	stimuli: autoDraw = True
39.0620 	EXP 	New trial (rep=0, index=27): {'stimulus': u'M', 'category': u'letter'}
39.0694 	EXP 	window1: blendMode = 'avg'
39.0790 	EXP 	stimuli: autoDraw = False
39.0790 	EXP 	stimuli: text = u'M'
39.0790 	EXP 	stimuli: autoDraw = True
39.0881 	EXP 	window1: blendMode = 'avg'
39.1358 	EXP 	New trial (rep=0, index=28): {'stimulus': u'B', 'category': u'letter'}
39.1445 	EXP 	window1: blendMode = 'avg'
39.1747 	EXP 	stimuli: autoDraw = False
39.1747 	EXP 	stimuli: text = u'B'
39.1747 	EXP 	stimuli: autoDraw = True
39.1799 	EXP 	New trial (rep=0, index=29): {'stimulus': u'H', 'category': u'letter'}
39.1860 	EXP 	window1: blendMode = 'avg'
39.2081 	EXP 	stimuli: autoDraw = False
39.2081 	EXP 	stimuli: text = u'H'
39.2081 	EXP 	stimuli: autoDraw = True
39.2092 	EXP 	New trial (rep=0, index=30): {'stimulus': u'Q', 'category': u'letter'}
39.2207 	EXP 	window1: blendMode = 'avg'
39.2298 	EXP 	stimuli: autoDraw = False
39.2298 	EXP 	stimuli: text = u'Q'
39.2298 	EXP 	stimuli: autoDraw = True
39.2301 	EXP 	window1: blendMode = 'avg'
39.2955 	EXP 	New trial (rep=0, index=31): {'stimulus': u'R', 'category': u'letter'}
39.3022 	EXP 	New trial (rep=0, index=32): {'stimulus': u'L', 'category': u'letter'}
39.3092 	EXP 	window1: blendMode = 'avg'
39.3451 	EXP 	stimuli: autoDraw = False
39.3451 	EXP 	stimuli: text = u'R'
39.3451 	EXP 	stimuli: autoDraw = False
39.3451 	EXP 	stimuli: text = u'L'
39.3451 	EXP 	stimuli: autoDraw = True
39.3457 	EXP 	window1: blendMode = 'avg'
39.3883 	EXP 	New trial (rep=0, index=33): {'stimulus': u'K', 'category': u'letter'}
39.4043 	EXP 	New trial (rep=0, index=34): {'stimulus': 1, 'category': u'number'}
39.4172 	EXP 	window1: blendMode = 'avg'
39.4266 	EXP 	stimuli: autoDraw = False
39.4266 	EXP 	stimuli: text = u'K'
39.4266 	EXP 	stimuli: autoDraw = False
39.4266 	EXP 	stimuli: text = 1
